year_of_survey,total,total_m,total_paid_m,mainly_work_male,work_side_total_m,work_side_keeping_house_m,work_side_attending_school_m,work_side_others_m,no_work_total_m,keeping_house_m,attending_school_m,other_m,total__f,total_paid_f,mainly_work_f,work_side_total_f,work_side_keeping_house_f,work_side_attending_school_f,work_side_others_f,no_work_total_f,keeping_house_f,attending_school_f,other_f
1956,60419000,29023000,24260000,23685000,414000,143000,144000,127000,4763000,144000,2127000,2493000,31397000,15542000,10118000,5353000,5233000,73000,47000,15854000,11234000,1780000,2840000
1959,64322000,30965000,25890000,25410000,337000,100000,106000,131000,5074000,162000,2431000,2481000,33357000,15439000,10925000,4433000,4334000,48000,51000,17917000,13076000,2071000,2771000
1962,67222000,32398000,26881000,26434000,328000,102000,90000,137000,5518000,179000,3059000,2280000,34823000,15974000,12046000,3845000,3741000,46000,58000,18850000,13788000,2386000,2676000
1965,72584000,35051000,28198000,27836000,287000,94000,87000,106000,6853000,193000,4252000,2408000,37533000,16581000,12822000,3701000,3610000,49000,42000,20951000,14723000,3495000,2734000
1968,76551000,37032000,30253000,29772000,481000,179000,169000,132000,6779000,165000,4061000,2552000,39519000,18754000,13177000,5577000,5310000,97000,170000,20765000,15052000,3267000,2446000
1971,79419000,38449000,31598000,31130000,468000,183000,161000,123000,6851000,164000,3899000,2788000,40970000,19032000,13157000,5875000,5589000,90000,195000,21938000,16144000,3095000,2700000
1974,82815000,39980000,32512000,32096000,417000,184000,131000,102000,7467000,188000,4106000,3173000,42836000,18828000,13169000,5659000,5406000,75000,178000,24007000,17709000,3235000,3064000
1977,86126000,41763000,33547000,33112000,435000,151000,160000,124000,8216000,172000,4188000,3856000,44363000,20103000,13429000,6674000,6368000,127000,179000,24261000,17324000,3370000,3567000
1979,88297000,42825000,34017000,33496000,520000,195000,200000,126000,8808000,196000,4459000,4153000,45472000,20720000,13620000,7100000,6798000,129000,174000,24751000,17199000,3663000,3889000
1982,91264000,44256000,35083000,34443000,640000,186000,326000,128000,9173000,243000,4379000,4551000,47008000,22805000,14495000,8310000,7905000,195000,209000,24203000,16793000,3657000,3754000
1987,97337000,47238000,36372000,35574000,798000,197000,449000,152000,10866000,363000,4922000,5581000,50100000,24130000,15532000,8598000,8101000,261000,236000,25970000,17595000,4258000,4117000
1992,102938000,49999000,38776000,37693000,1082000,256000,642000,184000,11223000,454000,4951000,5819000,52939000,26980000,17419000,9561000,8834000,456000,271000,25959000,17281000,4375000,4303000
1997,106653000,51746000,39508000,38295000,1213000,296000,697000,220000,12238000,628000,4351000,7259000,54907000,27495000,17914000,9580000,8693000,586000,301000,27412000,18638000,3876000,4898000
2002,109174500,52826300,38034100,36644700,1372800,345000,736700,291000,14792300,770700,4081100,9928500,56348200,26975300,17425900,9538300,8551000,680000,307200,29372900,19398400,3556200,6401100
2007,110301500,53282500,38174800,36682600,1462100,406900,772000,283200,15107800,1099800,3675900,10302900,57018900,27802700,18003600,9777700,8827500,680800,269500,29216200,19300500,3212400,6669200
2012,110815100,53413200,36744500,35183000,1466400,490300,674500,301500,16668700,1683800,3597300,11306200,57401900,27676200,18202500,9389400,8430500,688300,270600,29725700,19736300,3146500,6755200
2017,110976700,53542900,37074100,35336100,1723900,532700,826200,365100,16468800,2186800,3404200,10858400,57433900,29138900,19121700,10008000,8868400,835000,304600,28294900,18374000,3083700,6824700
2022,110195200,53134700,36706200,34859600,1796100,575700,877100,343200,16428500,2602600,3197500,10513700,57060500,30354200,20970600,9323000,8157500,898900,266700,26706200,16792400,2820600,6963100
