prefecture,brazilian_immigrants,total_immigrants
Hokkaido ,174,56383
Aomori ,34,7775
Iwate ,112,10173
 Miyagi,151,27009
Akita ,12,5275
Yamagata ,96,9326
Fukushima ,239,18038
Ibaraki ,6186,91694
Tochigi ,4026,51073
Gunma ,13665,74148
Saitama ,7398,234698
Chiba ,3626,204091
 Tokyo,4275,663348
Kanagawa ,9320,267523
Niigata ,332,21557
Toyama ,2531,22460
Ishikawa ,1626,19407
Fukui ,4000,17595
Yamanashi ,2857,21489
Nagano ,4990,43059
Gifu ,12341,69477
Shizuoka ,32631,115642
Aichi ,61566,310845
Mie ,13907,64420
Shiga ,9756,40743
Kyoto ,585,75812
Osaka ,2770,301490
Hyogo ,2423,131756
Nara ,344,17583
Wakayama ,118,9081
Tottori ,28,5604
Shimane ,3745,10345
Okayama ,962,35920
Hiroshima ,2338,62363
Yamaguchi ,330,19617
Tokushima ,37,7949
Kagawa ,171,17312
Ehime ,228,16384
Kochi ,25,6126
Fukuoka ,416,99691
Saga ,24,9764
Nagasaki ,72,13590
Kumamoto ,83,25571
Oita ,83,18107
Miyazaki ,59,9722
Kagoshima ,133,16407
Okinawa ,907,25425
other,8,363
Unknow,100,7762
