Prefecture,labour_force_rate_m,labour_force_rate_f,employed_primary_industry_rate,employed_secondary _industry_rate,employed_tertiary_industry_rate,unemployment_rate,employees_all_workers_rate,persons_living_working_same_prefecture_rate,aged_employees_65older_rate
All Japan,63.2,48.1,3.4,23.0,70.6,3.8,81.4,88.4,24.7
Hokkaido,62.0,45.4,6.7,16.5,74.1,4.2,81.1,96.9,22.6
Aomori-ken,67.3,49.9,11.1,19.6,67.1,4.6,77.0,97.0,25.6
Iwate-ken,68.3,50.8,9.6,24.3,64.3,3.8,79.1,96.6,27.5
Miyagi-ken,65.7,48.7,4.1,21.9,71.4,4.3,82.4,95.8,24.3
Akita-ken,66.0,47.9,8.6,23.6,66.1,4.1,78.6,97.7,25.0
Yamagata-ken,67.9,52.1,8.6,28.1,61.4,3.4,77.1,97.1,27.8
Fukushima-ken,65.9,48.7,6.2,28.8,62.0,4.1,79.1,95.9,26.3
Ibaraki-ken,65.5,49.1,5.1,27.9,64.0,3.9,81.2,87.7,25.4
Tochigi-ken,66.0,49.8,5.2,30.4,61.6,4.1,80.5,90.3,26.7
Gumma-ken,67.1,51.3,4.5,30.3,62.5,3.8,80.5,91.6,26.4
Saitama-ken,64.2,48.5,1.5,22.2,73.0,4.0,83.9,68.6,24.5
Chiba-ken,62.6,47.5,2.4,18.4,75.7,3.8,83.8,70.4,23.8
Tokyo-to,57.2,45.8,0.4,14.6,81.1,3.6,80.9,88.2,25.6
Kanagawa-ken,62.0,46.8,0.8,19.5,76.5,3.7,84.9,72.7,22.7
Niigata-ken,66.6,50.8,5.1,27.9,65.0,3.6,81.0,97.8,24.9
Toyama-ken,68.7,53.0,2.9,32.5,62.3,3.1,82.8,96.3,26.5
Ishikawa-ken,66.8,52.7,2.6,27.4,67.9,3.4,81.6,96.4,26.6
Fukui-ken,69.4,54.5,3.2,30.9,63.7,2.9,80.5,96.9,29.0
Yamanashi-ken,67.5,51.6,6.6,27.5,64.1,3.9,77.0,94.9,29.8
Nagano-ken,68.8,52.9,8.4,28.1,61.3,3.3,77.3,97.0,30.6
Gifu-ken,67.4,51.7,2.8,31.9,63.1,3.3,81.2,87.1,27.2
Shizuoka-ken,68.0,52.1,3.5,32.1,62.8,3.8,82.1,96.7,26.6
Aichi-ken,66.5,50.7,1.9,31.5,63.7,3.3,83.6,94.6,25.4
Mie-ken,65.6,49.9,3.1,30.7,62.7,3.1,82.0,91.1,25.1
Shiga-ken,66.0,50.3,2.4,31.9,62.5,3.4,83.7,86.4,25.1
Kyoto-fu,58.8,44.9,2.0,21.7,72.8,4.1,79.6,84.0,24.3
Osaka-fu,57.5,43.9,0.5,21.6,73.7,4.5,81.8,89.4,21.7
Hyogo-ken,62.3,45.9,1.8,24.1,70.6,4.0,82.5,83.4,22.3
Nara-ken,60.9,44.1,2.4,21.4,73.1,4.1,80.9,70.4,21.6
Wakayama-ken,64.2,47.2,8.1,21.5,67.1,3.9,74.7,91.0,25.3
Tottori-ken,66.1,51.7,7.7,21.1,68.3,3.5,78.8,94.3,27.2
Shimane-ken,66.8,51.7,6.4,22.9,68.0,2.7,79.7,95.5,28.1
Okayama-ken,64.9,49.1,4.1,26.2,66.6,3.6,80.8,94.8,24.5
Hiroshima-ken,65.5,49.3,2.7,25.3,69.0,3.4,82.1,95.0,24.7
Yamaguchi-ken,64.0,47.0,4.1,25.7,68.3,3.5,82.1,95.5,24.0
Tokushima-ken,63.9,48.7,7.4,22.7,67.1,4.2,76.8,95.3,24.3
Kagawa-ken,64.3,49.1,4.7,24.4,68.0,3.5,80.3,95.9,24.8
Ehime-ken,63.0,47.1,6.8,23.3,67.3,3.7,78.0,96.4,24.3
Kochi-ken,60.0,47.4,10.2,16.5,70.2,4.1,74.7,96.2,25.3
Fukuoka-ken,62.7,48.0,2.4,19.4,74.9,4.6,81.6,93.9,23.6
Saga-ken,68.4,53.0,7.4,23.5,66.9,3.6,78.7,89.5,28.1
Nagasaki-ken,65.2,49.1,6.6,18.8,72.2,3.8,79.0,96.2,24.3
Kumamoto-ken,65.0,50.8,8.8,20.7,68.5,3.9,77.6,95.5,25.8
Oita-ken,64.9,48.6,6.1,22.6,69.3,4.2,80.0,96.4,24.6
Miyazaki-ken,64.3,50.5,9.9,20.4,67.8,4.0,77.3,96.9,26.2
Kagoshima-ken,65.7,50.5,8.3,18.8,71.1,4.0,78.5,97.1,25.8
Okinawa-ken,56.9,45.6,4.0,13.7,78.2,5.5,79.9,95.4,21.7
