２　国籍・地域別　港別　入国外国人,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全国,北海道,,,,,,,,,,,,青森県,,,岩手県,宮城県,,秋田県,,山形県,,福島県,,茨城県,,,,埼玉県,千葉県,,,,東京都,,,,,神奈川県,,,,新潟県,,,富山県,,石川県,,,,静岡県,,,,愛知県,,,,,三重県,京都府,大阪府,,,兵庫県,,,,和歌山県,,鳥取県,,鳥取県・島根県,島根県,岡山県,,,広島県,,,,,,山口県,,,,,徳島県,,香川県,,,愛媛県,,,高知県,,福岡県,,,,,佐賀県,,長崎県,,,,,,熊本県,,大分県,,,宮崎県,,,鹿児島県,,,,,沖縄県,,,,,,,,,,
国籍 ・ 地域,総数,"旭川
（空港）",小樽,釧路,"釧路
（空港）",様似,知内,"新千歳
（空港）",苫小牧,函館,"函館
（空港）",室蘭,稚内,青森,"青森
（空港）","三沢
（空港）","花巻
（空港）","仙台
（空港）",仙台塩釜,"秋田
（空港）",秋田船川,"庄内
（空港）","山形
（空港）",小名浜,"福島
（空港）","茨城
（空港）",鹿島,東海,常陸那珂,"入間
（空港）",木更津,千葉,名洗,"成田
（空港）","硫黄島
（空港）",東京,"羽田
（空港）",二見,"横田
（空港）","厚木
（空港）",川崎,横須賀,横浜,直江津,新潟,"新潟
（空港）","富山
（空港）",伏木富山,金沢,"小松
（空港）",七尾,"能登
（空港）","静岡
（空港）",清水,"浜松
（空港）",焼津,衣浦,"中部
（空港）",名古屋,"名古屋
（空港）",三河,四日市,舞鶴,"大阪
（阪神）","関西
（空港）",堺泉北,"尼崎西宮
芦屋
（阪神）","神戸
（阪神）",東播磨,姫路,"白浜
（空港）",和歌山下津,"鳥取
（空港）","米子
（空港）",境,"出雲
（空港）","岡山
（空港）",日比,水島,倉橋,呉,重井,広島,"広島
（空港）",福山,"岩国
（空港）",宇部,"関門
（下関）",三田尻中関,柳井,"徳島
（空港）",徳島小松島,坂出,"高松
（空港）",直島,松山,"松山
（空港）",三島川之江,高知,"高知
（空港）","関門
（門司）","関門
（戸畑）","北九州
（空港）",博多,"福岡
（空港）",唐津,"佐賀
（空港）",厳原,佐世保,長崎,"長崎
（空港）",比田勝,松島,"熊本
（空港）",八代,大分,"大分
（空港）",佐賀関,油津,"新田原
（空港）","宮崎
（空港）",鹿児島,"鹿児島
（空港）",喜入,枕崎,山川,石垣,糸満,"嘉手納
（空港）",金武中城,"下地島
（空港）","新石垣
（空港）",那覇,"那覇
（空港）",平良,"普天間
（空港）",与那国
総数,"25,830,810 ","12,045 ","5,763 ","2,684 ",4 ,1 ,1 ,"1,229,709 ",2 ,"4,403 ","27,005 ","1,926 ",60 ,"2,093 ","3,595 ",269 ,"10,623 ","111,637 ",6 ,"1,177 ","1,345 ",175 ,"2,119 ",1 ,"2,409 ","17,751 ",3 ,1 ,1 ,1 ,12 ,16 ,1 ,"8,036,214 ",381 ,"2,550 ","4,657,583 ",2 ,"2,117 ",16 ,8 ,65 ,"4,517 ",2 ,4 ,"14,419 ","16,138 ",67 ,"3,677 ","41,066 ",13 ,446 ,"21,114 ",572 ,4 ,73 ,1 ,"838,842 ",37 ,113 ,2 ,1 ,34 ,"16,590 ","6,525,181",   6 ,   15 ,"8,515",1,3,141,11,301,"8,551","3,317",166,"38,305",3,1,2,34,1,527,"34,641",3,383,36,"45,580",1,1,"3,049",1,3,"89,086",1,300,"33,896",1,"1,255","11,149","1,610",8,"37,778","80,194","2,677,005",652,"23,868",30,"1,186","35,449",529,"120,147",1,"71,876","1,027",2,"12,197",1,2,5,"9,408","16,199","25,908",2,18,31,"4,814",1,"2,183",52,2,300,"1,837","807,685",747,1,82
アジア,"20,549,248 ","11,989 ",386 ,49 ,0 ,1 ,1 ,"1,180,822 ",1 ,413 ,"26,814 ",96 ,0 ,626 ,"3,565 ",6 ,"10,596 ","110,534 ",2 ,"1,173 ",284 ,175 ,"2,116 ",1 ,"2,283 ","17,641 ",2 ,1 ,1 ,0 ,11 ,3 ,1 ,"5,948,689 ",0 ,104 ,"2,405,695 ",0 ,48 ,0 ,8 ,0 ,"1,542 ",1 ,0 ,"14,206 ","16,030 ",0 ,237 ,"40,387 ",0 ,446 ,"20,770 ",10 ,0 ,0 ,1 ,"801,480 ",9 ,52 ,1 ,1 ,0 ,"13,401 ","5,916,979",   3 ,   11 ,"2,400",0,0,141,3,300,"8,327",465,166,"37,959",0,1,0,0,1,38,"32,941",1,0,0,"44,197",1,0,"3,045",1,0,"86,557",1,19,"33,561",1,238,"11,138",34,0,"37,415","68,839","2,584,899",14,"23,708",27,463,"7,341",506,"119,385",1,"70,772",354,2,"12,059",1,0,0,"9,285","3,392","24,828",2,0,1,602,1,26,8,0,299,658,"772,812",226,0,82
アフガニスタン,"3,333 ",0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,165 ",0 ,0 ,682 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,364,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
アラブ首長国連邦,"10,280 ",0 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,804 ",0 ,0 ,"1,664 ",0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,733",   0 ,   0 ,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
イエメン,551 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,312 ,0 ,0 ,138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,88,   0 ,   0 ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
イスラエル,"45,722 ",0 ,5 ,2 ,0 ,0 ,0 ,189 ,0 ,24 ,0 ,2 ,0 ,12 ,0 ,0 ,0 ,4 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"28,108 ",0 ,2 ,"9,996 ",0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,1 ,0 ,0 ,7 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86 ,0 ,0 ,0 ,0 ,0 ,14 ,"5,891",   0 ,   0 ,75,0,0,0,3,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,4,0,0,53,458,2,1,0,0,365,0,1,0,1,32,0,0,0,0,0,0,110,0,0,0,0,57,0,0,0,0,0,11,119,2,0,0
イラク,"1,142 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,759 ,0 ,0 ,204 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,170,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
イラン,"8,933 ",0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,626 ",0 ,0 ,"2,236 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38 ,0 ,0 ,0 ,0 ,0 ,1 ,"1,882",   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,56,0,0,0
インド,"175,933 ",0 ,4 ,0 ,0 ,0 ,0 ,913 ,1 ,2 ,0 ,1 ,0 ,6 ,0 ,0 ,0 ,18 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,138 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,"97,646 ",0 ,5 ,"55,271 ",0 ,0 ,0 ,2 ,0 ,14 ,0 ,0 ,1 ,2 ,0 ,2 ,11 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,"1,975 ",4 ,51 ,0 ,0 ,0 ,22 ,"17,286",   0 ,   0 ,23,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,84,0,0,0,9,1,0,1,0,0,9,0,0,1,0,0,0,0,0,4,57,"1,795",0,0,0,0,105,0,0,0,0,8,0,1,0,0,0,0,41,3,1,0,0,2,0,0,0,0,0,0,399,0,0,0
