,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,F．労働,,F Labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,No.168,,No.169,,No.170,,No.171,,No.172,,No.173,,No.174,,No.175,,No.176,,No.177,,No.178,,No.179,,No.180,,No.181,,No.182,,No.183,,No.184,,No.185,,No.186,,No.187,,No.188,,No.189,,No.190,,No.191,,No.192,,No.193,,No.194,,No.195,
,,,,,,,,,,,"労働力人口比率
（対15歳以上人口）
(男)",,"労働力人口比率
（対15歳以上人口）
(女)",,"第１次産業就業者比率
（対就業者）",,"第２次産業就業者比率
（対就業者）",,"第３次産業就業者比率
（対就業者）",,"完全失業率
（完全失業者数／労働力人口）",,"雇用者比率
（雇用者数／就業者）",,"県内就業者比率
（対就業者）",,"他市区町村への通勤者比率
（対就業者）",,"
他市区町村からの通勤者比率（対就業者）",,"高齢就業者割合
(65歳以上)
(対65歳以上人口)",,"高齢一般労働者割合
(65歳以上)
(対65歳以上人口)",,障害者就職率,,"高等学校卒業者に占める
就職者の割合
（対高等学校卒業者数）",,"高等学校卒業者に占める
県外就職者の割合
（対高等学校卒業者就職者数）",,"高等学校新規卒業者の
求人倍率
（対新規高等学校卒業者求職者数）",,"大学卒業者に占める就職者の割合
（対大学卒業者数）",,"大学新規卒業者の無業者率
（対大学卒業者数）",,"新規就業率
(新規就業者数／有業者数)",,"就業異動率
（(転職者数+離職者数+新規就業者数)/15歳以上人口）",,月間平均実労働時間数(男),,月間平均実労働時間数(女),,"男性パートタイムの給与
（１時間当たり）",,"女性パートタイムの給与
（１時間当たり）",,男性パートタイム労働者数,,女性パートタイム労働者数,,新規学卒者所定内給与額(高校)（男）,,新規学卒者所定内給与額(高校)（女）,
,,,,,,,,,,,Labour force participation rate (Male),,Labour force participation rate (Female),,Percentage of persons employed in primary industry,,Percentage of persons employed in secondary industry,,Percentage of persons employed in tertiary industry,,Unemployment rate (Both sexes),,Percentage of employees to all workers,,Percentage of persons living and working in the same prefecture,,Percentage of commuters to other municipalities,,Percentage of commuters from other municipalities,,Percentage of aged employees (65 years old and over),,Percentage of aged general workers (65 years old and over),,Percentage of employment for the disabled persons,,Percentage of new employment to upper secondary school graduates,,Percentage of upper secondary school graduates getting jobs outside the prefecture,,Job vacancies rate of new upper secondary school graduates,,Percentage of new employment to college or university graduates ,,Percentage of new college or university graduates not working,,Percentage of newly employed,,Percentage of job changes,,"Monthly average of hours actually worked
(Male)",,"Monthly average of hours actually worked
(Female)",,"Salary of part-time workers
(per hour, Male)",,"Salary of part-time workers (per hour, Female)",,"Number of part-time workers
 (Male)",,Number of part-time workers (Female),,Scheduled cash earnings for upper secondary school graduates (Male),,Scheduled cash earnings for upper secondary school graduates (Female),
,,,,,,,,,,,#F0110101,,#F0110102,,#F01201,,#F01202,,#F01203,,#F01301,,#F02301,,#F02501,,#F02701,,#F02702,,#F0350303,,#F0350406,,#F03602,,#F03303,,#F03302,,#F03304,,#F03403,,#F03402,,#F04103,,#F04104,,#F0610103,,#F0610104,,#F06207,,#F06206,,#F03242,,#F03241,,#F0620307,,#F0620308,
,,,,,,,,単位,Unit,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,％,,倍:times,,％,,％,,％,,％,,時間:hours,,時間:hours,,円:yen,,円:yen,,人:person,,人:person,,千円:thousand yen,,千円:thousand yen,
,,,,,,,,年度,Fiscal year,,2020,,2020,,2020,,2020,,2020,,2020,,2020,,2020,,2020,,2020,,2020,,2023,,2023,,2022,,2022,,2022,,2022,,2022,,2022,,2022,,2023,,2023,,2023,,2023,,2023,,2023,,2023,,2023,
