Prefecture,monthly_worked_hours_m,monthly_worked_hours_f,pt_hourly_salary_m,pt_hourly_salary_f,pt_workers_m,pt_workers_f,hs_graduated_salary_m,hs_graduated_salary_f,hs_graduated_salary_m,hs_graduated_salary_f
All Japan,182,171,1657,1312,3620560,8890370,189,183,1890000,1832000
Hokkaido,182,170,1424,1163,127980,378250,176,172,1759000,1717000
Aomori-ken,182,169,1416,1090,19580,58340,177,165,1774000,1647000
Iwate-ken,181,171,1433,1198,18220,55660,181,178,1809000,1780000
Miyagi-ken,182,168,1259,1167,53750,136770,188,179,1880000,1789000
Akita-ken,179,169,1155,1045,14150,42490,172,162,1721000,1618000
Yamagata-ken,182,171,1345,1098,16410,48170,175,176,1751000,1761000
Fukushima-ken,181,169,1272,1091,25650,88830,184,183,1839000,1833000
Ibaraki-ken,179,171,1794,1210,66950,194210,187,179,1869000,1788000
Tochigi-ken,185,172,1470,1235,48910,125560,191,178,1911000,1784000
Gumma-ken,183,172,1749,1244,47710,119060,196,179,1961000,1794000
Saitama-ken,186,170,1593,1292,160450,483970,203,196,2025000,1963000
Chiba-ken,180,167,1839,1312,137010,380320,191,191,1906000,1905000
Tokyo-to,181,172,1815,1534,896510,1506150,196,182,1957000,1817000
Kanagawa-ken,180,169,2045,1409,251790,641980,197,226,1965000,2257000
Niigata-ken,179,169,1421,1181,44160,115810,181,169,1806000,1687000
Toyama-ken,181,172,1374,1210,20390,57540,189,184,1886000,1838000
Ishikawa-ken,182,171,1224,1215,26220,68660,188,186,1880000,1857000
Fukui-ken,180,171,1532,1176,18670,42350,188,184,1876000,1842000
Yamanashi-ken,182,172,1405,1271,19350,48600,193,185,1934000,1847000
Nagano-ken,179,171,1262,1172,37200,113640,183,185,1826000,1853000
Gifu-ken,182,170,1320,1179,46530,129320,181,180,1812000,1801000
Shizuoka-ken,181,169,1547,1201,86600,234230,192,184,1923000,1843000
Aichi-ken,183,171,1809,1275,218630,628510,187,184,1870000,1837000
Mie-ken,180,169,1459,1211,38900,115260,214,184,2137000,1837000
Shiga-ken,181,167,1439,1230,36950,90660,200,195,1997000,1950000
Kyoto-fu,181,167,1817,1419,87770,186540,202,204,2016000,2036000
Osaka-fu,180,170,1599,1361,289550,704400,189,200,1891000,1996000
Hyogo-ken,182,171,2115,1461,132750,445940,192,188,1924000,1876000
Nara-ken,181,169,1446,1257,31680,88770,189,185,1890000,1848000
Wakayama-ken,182,171,1607,1222,19930,67980,179,184,1793000,1843000
Tottori-ken,177,169,1312,1121,13080,27380,176,164,1763000,1635000
Shimane-ken,181,171,1734,1175,11550,31510,175,173,1748000,1733000
Okayama-ken,180,170,1433,1234,54710,116580,186,177,1856000,1773000
Hiroshima-ken,181,170,1311,1389,76630,167220,199,179,1991000,1793000
Yamaguchi-ken,180,170,1502,1175,28760,85880,188,179,1876000,1785000
Tokushima-ken,181,170,1228,1194,13290,43590,183,184,1834000,1843000
Kagawa-ken,185,171,1307,1146,18640,64190,184,187,1841000,1872000
Ehime-ken,183,171,1257,1107,20810,83040,185,164,1845000,1636000
Kochi-ken,176,168,2136,1179,15440,34840,175,174,1753000,1741000
Fukuoka-ken,181,169,1322,1206,157860,353020,190,177,1904000,1770000
Saga-ken,184,172,1422,1131,16000,46390,181,161,1806000,1608000
Nagasaki-ken,184,170,1146,1109,25660,76880,173,157,1733000,1571000
Kumamoto-ken,182,172,1285,1138,33400,80290,177,178,1772000,1776000
Oita-ken,179,167,1773,1191,18530,59020,190,170,1904000,1700000
Miyazaki-ken,180,170,1553,1078,15260,56650,179,162,1787000,1620000
Kagoshima-ken,181,172,1208,1087,35330,95750,182,189,1818000,1886000
Okinawa-ken,178,168,1210,1122,25240,70120,160,179,1600000,1788000
